METER_ID,OBJECTID,Meter_Styl,Type,Sub_Base,Max_Hours,Rate_Per_H,Rate_Per_D,Hours_Oper,Sign_Type,Notes,Duplex,LegacyID,Location,FacilityID,Rotation,GlobalID
15G56,1070,VIP,Electronic,Concrete Sidewalk,2 hours,1.00 per hour,10.00,8:00 - 5:00,,,,3,15-G,15G56,0,{F5F44EA4-0BC2-4E2A-926C-A96CD81745A9}
15G55,1071,VIP,Electronic,Concrete Sidewalk,2 hours,1.00 per hour,10.00,8:00 - 5:00,,,,3,15-G,15G55,0,{7B3015AF-377C-491E-996C-28657678B37C}
14K59,1072,Tallboy,Electronic,Concrete Sidewalk,2 hours,1.00 per hour,10.00,8:30 - 5:00,,,,2,14-K,14K59,0,{C111BCA5-D2BF-4C33-9726-3A0C7C3B7D7C}
14K58,1073,Tallboy,Electronic,Concrete Sidewalk,2 hours,1.00 per hour,10.00,8:30 - 5:00,,,,2,14-K,14K58,0,{51E9E72B-DC7B-454C-AD88-7ECF4EDABD76}
14K57,1074,Tallboy,Electronic,Concrete Sidewalk,2 hours,1.00 per hour,10.00,8:30 - 5:00,,,,2,14-K,14K57,0,{818A67A2-2BAD-43C6-8BFB-86B7D296BE58}
14K56,1075,Tallboy,Electronic,Concrete Sidewalk,2 hours,1.00 per hour,10.00,8:30 - 5:00,,,,2,14-K,14K56,0,{78046859-3F19-492A-8280-44B306BA6871}
14K55,1076,Tallboy,Electronic,Concrete Sidewalk,2 hours,1.00 per hour,10.00,8:30 - 5:00,,,,2,14-K,14K55,0,{3E127DC1-7F5E-4FDA-8434-7423AFCFC5DB}
14K54,1077,Tallboy,Electronic,Concrete Sidewalk,2 hours,1.00 per hour,10.00,8:30 - 5:00,,,,2,14-K,14K54,0,{1656FC6C-CB8E-490F-B5C3-BBA03297BBAA}
14K53,1078,Tallboy,Electronic,Concrete Sidewalk,2 hours,1.00 per hour,10.00,8:30 - 5:00,,,,2,14-K,14K53,0,{FABEC280-1B3B-4028-8B67-BBCE74DEE05F}
14L68,1079,Tallboy,Electronic,Concrete Sidewalk,2 hours,1.00 per hour,10.00,8:30 - 5:00,This Car,,,2,14-L,14L68,0,{DDA05083-5EED-474C-9C03-9C6F9B6E6D76}
14L67,1080,Tallboy,Electronic,Concrete Sidewalk,2 hours,1.00 per hour,10.00,8:30 - 5:00,This Car,,,2,14-L,14L67,0,{99973748-1464-4A27-99EC-32A8D50640E2}
14L66,1081,Tallboy,Electronic,Concrete Sidewalk,2 hours,1.00 per hour,10.00,8:30 - 5:00,This Car,,,2,14-L,14L66,0,{4DED7FB6-D1FB-4B49-B244-4615E8CAA342}
14L65,1082,Tallboy,Electronic,Concrete Sidewalk,2 hours,1.00 per hour,10.00,8:30 - 5:00,This Car,,,2,14-L,14L65,0,{B1C873BC-D889-4757-AF03-59672C7DD634}
14L64,1083,Tallboy,Electronic,Concrete Sidewalk,2 hours,1.00 per hour,10.00,8:30 - 5:00,This Car,,,2,14-L,14L64,0,{C651AAD3-9E90-493B-A243-E608EE69A17B}
